"CONTACT_ID","WEB_ID"
"1-PK5IV93","649129335.1516111043"
"1-PK5KISZ","379493943.1515871126"
"1-PKROVGO","1086070448.1514409605"
"1-PKSC64V","1204472882.1516211799"
"1-POVALNS","1503448258.1508920405"
"1-PPS3KVT","GA1.3.2013465015.1516996028"
"1-PPXNIZ7","839881807.1517042085"
"1-PQ3IGSP","GA1.3.1345225840.1517073103"
"1-PRHTGK8","1137149276.1517356290"
"1-PMI90O4","1774771320.1518193757"
"1-PMT5E3Y","686486622.1497435278"
"1-PPKSM3N","GA1.3.1859810402.1463511696"
"1-PPPGNW6","494319799.1516981423"
"1-K7A4R0","2014699219.1517767175"
"1-PMN20F9","GA1.3.520216822.1516566542"
"1-PQ2I4T8","125714091.1517064673"
"1-PQD4TAA","1735411474.1506966105"
"1-PLMBBWV","1133818101.1512550981"
"1-PMKP5FA","GA1.3.1539564240.1516551630"
"1-PRUNP0V","GA1.3.785765811.1516789231"
"1-PQD4TAA","1609662225.1517161702"
"1-PSWYK6W","437955894.1517143312"
"1-PKSAX5P","GA1.3.1998991691.1516235038"
"1-POEQ5OO","427092457.1516798394"
"1-POW1KD2","1665367786.1516865065"
"1-PRDV3CP","GA1.3.364986059.1517334765"
"1-PLGQR5V","GA1.3.554902972.1516357987"
"1-PLRVFGM","964199442.1516391192"
"1-PPNXSXJ","1854046957.1516976868"
"1-PJ2598O","GA1.3.295554293.1516042446"
"1-OHJ2UZ8","2024204.1502393380"
"1-PPNXSXJ","478361735.1517579776"
"1-PP78PLZ","1140441876.1516903198"
"1-PRWCDI0","GA1.3.785431341.1517424582"
"1-PNOY6V3","520133817.1516707038"
"1-PQDILI5","1094624797.1517162756"
"1-PLRKNV0","1580543373.1510753308"
"1-PMIAKRS","GA1.3.258860576.1516535011"
"1-PNGE0IZ","1903485187.1515194962"
"1-PNX3508","GA1.3.1484612848.1516727671"
"1-PPIZWMK","2006574845.1516967078"
"1-PMTG5LO","396482065.1489394704"
"1-POW1EDR","499228608.1516870721"
"1-POW1F5K","203266445.1516266018"
"1-PPQXADS","1448153829.1515324249"
"1-PQD4TAA","GA1.3.1786097278.1517329514"
"1-PRXA637","1878472896.1517429912"
"1-PTBEPQV","353010637.1512764951"
"1-PKSCFJH","1283388686.1516220251"
"1-PM7TUOK","1592486608.1516470283"
"1-POE9UCY","1721431852.1516385252"
"1-PQD4TAA","GA1.3.1594008157.1516906781"
"1-N8IBOLE","1151180582.1517315593"
"1-N8IBOLE","1397215832.1517390243"
"1-PKS95GY","905823923.1516219544"
"1-PLWW12O","1904666541.1515339812"
"1-PMRLQNI","2043900818.1516582161"
"1-PNB82LB","GA1.3.2097599372.1516653568"
"1-POYPOH8","947300350.1516877729"
"1-PNB82LB","GA1.3.640969112.1461837136"
"1-PK5VI6V","715275850.1516133748"
"1-PLKUCTA","GA1.3.886435808.1516343637"
"1-PIKC95R","1680456628.1515930182"
"1-PQ2NAKG","1412747785.1517065286"
"1-PQM4HDJ","258154468.1517208883"
"1-PS0A7NY","1966728639.1513713266"
"1-PS1658N","805908487.1517468084"
"1-PLEDTM8","GA1.3.412734265.1516347355"
"1-PME1DP1","GA1.3.1036597967.1516485635"
"1-PMV7MVY","67181293.1475968423"
"1-PMZ5FQO","GA1.3.1248205355.1516047663"
"1-PN63JMO","1137839542.1516635117"
"1-7Z4QVB2","295297529.1512239838"
"1-PIZ97K2","270315062.1516741688"
"1-PLZ24UJ","2000112221.1516435349"
"1-PMH5D1N","2141947824.1516529727"
"1-PMJ8JTJ","1081146744.1516542308"
"1-PMMBK5L","GA1.3.837051230.1509891934"
"1-PN1WIJ4","1256629851.1516029917"
"1-PPF0ZQ5","547499936.1516357470"
"1-NYPU6UN","1921911817.1515531848"
"1-PPNXSXJ","GA1.3.1854046957.1516976868"
"1-PQ3SMXK","1727725891.1517073820"
"1-PTL5JT4","1061259452.1516388275"
"1-PV53921","GA1.3.1928584930.1518035598"
"1-NSC2HS0","1176805894.1519654544"
"1-2BWVXI","GA1.3.1146248449.1488204690"
"1-N95CJH0","GA1.3.710181207.1492934339"
"1-NSUMAAW","1466128007.1503673024"
"1-98JY245","2091305777.1514468782"
"1-8NGVYR0","355402460.1516216323"
"1-NXS5F44","147713378.1517502102"
"1-N8IBOLE","1151180582.1517315593"
"1-N8IBOLE","1397215832.1517390243"
"1-PPKTNJF","GA1.3.1606270295.1516302053"
"1-90MR2TU","1957676881.1516884327"
"1-N7UN0AI","GA1.3.1249068698.1518340368"
"1-5WD64G","317773582.1518298346"
"1-7Z4QVB2","295297529.1512239838"
"1-3U3OJ2Z","1028940663.1518191656"
"1-3U3OJ2Z","549605888.1393266025"
"1-12WAM94","1041815208.1518440481"
"1-N95CJH0","GA1.3.710181207.1492934339"
"1-7Z4QVB2","295297529.1512239838"