X_ANS_COMMENTS,Contact ID,Opty ID
"GA userId: 414916940.1481354185

Request: 2017-12-23",1-4GOHHW,1-PAZMZ1Q
"GA userId: 1014704645.1511786657

Request: 2017-11-27",1-7QL2NXO,1-OVBQO4Y
"GA userId: GA1.3.1640729453.1510689113

Request: 2017-11-18",1-859JD6Y,1-OP4YX2M
"GA userId: 1793622993.1502037429

Request: 2017-12-27",1-NNL5ME2,1-PC0W7IU
"GA userId: 1793622993.1502037429

Request: 2017-12-27",1-NNL5ME2,1-PC0W4HE
"GA userId: 1758399198.1503598759

Request: 2017-10-24",1-3ETE4DM,1-ODSRPVG
"GA userId: 1277167091.1511167441

Request: 2017-11-20",1-84RXE7Q,1-OPQ4DO8
"GA userId: 431584986.1508932015

Request: 2017-11-20",1-84RXE7Q,1-OPNGDD0
"GA userId: 

Request: 2017-11-15",1-O3RYRAU,1-ONO444Q
"GA userId: 212947132.1510845907

Request: 2017-11-16",1-14UH2FF,1-OODR28Q
"GA userId: 212947132.1510845907

Request: 2017-11-16",1-14UH2FF,1-OODQT7Q
"GA userId: 212947132.1510845907

Request: 2017-11-16",1-14UH2FF,1-OODR2F4
"GA userId: 1550287841.1508963237

Request: 2017-11-02",1-2957VR,1-OHZQNZO
"GA userId: 1550287841.1508963237

Request: 2017-11-02",1-2957VR,1-OHZQIOK
"GA userId: 1131027408.1513845067

Request: 2017-12-21",1-3FT57WM,1-PA9PIW0
"GA userId: 1516687142.1509541012

Request: 2017-11-01",1-44B6XY9,1-OHF8GUE
"GA userId: 

Request: 2017-12-05",1-5X8D6G,1-P1K21UK
"GA userId: 1164617338.1507909062

Request: 2017-12-02",1-93PME92,1-OZYMXLK
"GA userId: 1906221326.1510288737

Request: 2017-12-31",1-96IH0R2,1-PD8IHEY
"GA userId: 1906221326.1510288737

Request: 2017-12-31",1-96IH0R2,1-PD8IFV4
"GA userId: 1605944297.1507144164

Request: 2017-10-28",1-O40L6F0,1-OG7ZU8Y
"GA userId: 604338032.1506523238

Request: 2017-10-21",1-OB2Z9NH,1-OB2Z9NA
"GA userId: 269393380.1509875299

Request: 2017-11-05",1-OISS6PR,1-OISYAKU
"GA userId: 

Request: 2017-11-08",1-OKDKYO1,1-OKDKYNU
"GA userId: GA1.3.55360169.1508943176

Request: 2017-11-27",1-OV29IYW,1-OV29IYQ
"GA userId: GA1.3.188222206.1497902829

Request: 2017-12-05",1-P1NCOLY,1-P1NCOLS
"GA userId: 1771349164.1512514207

Request: 2017-12-06",1-P1QFLUX,1-P1QFLUQ
"GA userId: 1173258920.1507834670

Request: 2017-12-07",1-P2IPK1O,1-P2IPK1I
"GA userId: 76524712.1512728931

Request: 2017-12-08",1-P2RJR4G,1-P2RJR4A
"GA userId: GA1.3.283696487.1506243801

Request: 2017-12-13",1-P5IMVI6,1-P5IMVI0
"GA userId: 1918375042.1511545365

Request: 2017-12-19",1-P92I7NR,1-P92I7MG
"GA userId: 1119438371.1513876924

Request: 2017-12-21",1-PAG9FMI,1-PAG9JVO
"GA userId: 1484556555.1514306506

Request: 2017-12-26",1-PBQRJFN,1-PBQRJFG
"GA userId: 547084142.1496083409

Request: 2017-11-13",1-NTN372J,1-OMQ3X9M
"GA userId: 1605944297.1507144164

Request: 2017-10-28",1-O40L6F0,1-OG7ZOZS
"GA userId: 1605944297.1507144164

Request: 2017-10-28",1-O40L6F0,1-OG7ZTH6
"GA userId: 1605944297.1507144164

Request: 2017-10-28",1-O40L6F0,1-OG7ZRJQ
"GA userId: 1423690933.1505674189

Request: 2017-10-21",1-OB02NGE,1-OB02NG8
"GA userId: GA1.3.290959768.1452115559

Request: 2017-10-25",1-OEBA773,1-OEBA712
"GA userId: 1773325954.1509002936

Request: 2017-10-26",1-OF4P110,1-OF4P10U
"GA userId: 50752877.1508942782

Request: 2017-10-29",1-OGHJSDS,1-OGHJSDM
"GA userId: 564459663.1509351087

Request: 2017-10-30",1-OGOZ13N,1-OGOZ12W
"GA userId: GA1.3.37729984.1509357553

Request: 2017-10-30",1-OGUI6I8,1-OGUI6I2
"GA userId: GA1.3.37729984.1509357553

Request: 2017-10-30",1-OGUI6I8,1-OGUIB32
"GA userId: 777914331.1451407759

Request: 2017-10-31",1-OH6YSBA,1-OH6YSB4
"GA userId: 327055073.1509382189

Request: 2017-10-31",1-OH82DBB,1-OH82DB4
"GA userId: 2040870630.1507371503

Request: 2017-11-02",1-OHON3O1,1-OHON3JE
"GA userId: GA1.3.192314990.1505192222

Request: 2017-11-02",1-OHW6Q5B,1-OHW6Q0O
"GA userId: 780740674.1509704149

Request: 2017-11-03",1-OI6YUXU,1-OI6YUXO
"GA userId: 627899486.1457700314

Request: 2017-11-03",1-OI947I0,1-OI947HU
"GA userId: 269393380.1509875299

Request: 2017-11-05",1-OISS6PR,1-OISY98S
"GA userId: 860486776.1509919694

Request: 2017-11-05",1-OIYNPUQ,1-OIYNPUK
"GA userId: 110046661.1511270730

Request: 2017-11-21",1-OQPD9TF,1-OQPD9H0
"GA userId: GA1.3.188222206.1497902829

Request: 2018-01-03",1-P1NCOLY,1-PE4U2OU
"GA userId: 1527934770.1511559821

Request: 2017-12-06",1-P1QVFOI,1-P1QVDLC
"GA userId: 1527934770.1511559821

Request: 2017-12-06",1-P1QVFOI,1-P1QVFOC
"GA userId: 1001750010.1512663391

Request: 2017-12-07",1-P2HF6B4,1-P2HF6AY
"GA userId: 1001750010.1512663391

Request: 2017-12-07",1-P2HF6B4,1-P2HFGJA
"GA userId: 1001750010.1512663391

Request: 2017-12-07",1-P2HFKIT,1-P2HFJJM
"GA userId: 76524712.1512728931

Request: 2017-12-08",1-P2RJR4G,1-P2RJT2K
"GA userId: 1743824748.1485709854

Request: 2017-12-12",1-P4MFGBX,1-P4MFG5W
"GA userId: 

Request: 2017-12-12",1-P4P40GG,1-P4P40GA
"GA userId: GA1.3.2124390145.1513193911

Request: 2017-12-13",1-P5L2WFA,1-P5L2X1M
"GA userId: GA1.3.2124390145.1513193911

Request: 2017-12-13",1-P5L2WFA,1-P5L2WF4
"GA userId: GA1.3.2124390145.1513193911

Request: 2017-12-13",1-P5L2WXX,1-P5L2WXQ
"GA userId: 176710732.1513871088

Request: 2017-12-21",1-PAF3OSU,1-PAF3OSO
"GA userId: 1119438371.1513876924

Request: 2017-12-21",1-PAG9FMI,1-PAG9FMC
"GA userId: 

Request: 2017-12-26",1-PBQERKN,1-PBQERJ2
"GA userId: 333297965.1485427816

Request: 2017-10-20",1-OA87826,1-OA87820
"GA userId: 1048041267.1507715185

Request: 2017-10-24",1-ODMLX20,1-ODMLX1U
"GA userId: GA1.3.65523519.1462374792

Request: 2017-10-27",1-OG2PUJY,1-OG2PUJS
"GA userId: 2008573988.1509033290

Request: 2017-11-01",1-OHJEHAP,1-OHJEHAI
"GA userId: 851608093.1505414752

Request: 2017-11-04",1-OIOHFDY,1-OIOHFDS
"GA userId: 660284429.1510091557

Request: 2017-11-07",1-OJUMTMO,1-OJUMTMI
"GA userId: 317201441.1510583666

Request: 2017-11-13",1-OMMXZWW,1-OMMXZWQ
"GA userId: 2132332982.1511258485

Request: 2017-11-21",1-OQFVNHP,1-OQFVNG4
"GA userId: GA1.3.1160106755.1511471605

Request: 2017-11-23",1-OSWGBKP,1-OSWGBKI
"GA userId: 1280970622.1502950840

Request: 2017-11-28",1-OW16G61,1-OW16G5A
"GA userId: 680861431.1511963801

Request: 2017-11-29",1-OX5T626,1-OX5T620
"GA userId: 962232223.1512409555

Request: 2017-12-04",1-P16QSTA,1-P16QST4
"GA userId: 1096614743.1512420002

Request: 2017-12-04",1-P17UF9I,1-P17UF9C
"GA userId: 98946698.1513050011

Request: 2017-12-12",1-P45G5U0,1-P45G5TU
"GA userId: GA1.3.370243763.1513029430

Request: 2017-12-12",1-P4QBWR0,1-P4QBWQU
"GA userId: GA1.3.296750379.1512238198

Request: 2017-12-13",1-P5U1EZ0,1-P5U1GA2
"GA userId: 1324663291.1513272957

Request: 2017-12-14",1-P6JWSJH,1-P6JWQWY
"GA userId: 1060565420.1448373766

Request: 2017-12-18",1-P8I70HU,1-P8I6VLA
"GA userId: 248810823.1513933042

Request: 2017-12-22",1-PAMRQOH,1-PAMRQOA
"GA userId: 248810823.1513933042

Request: 2017-12-22",1-PAMRWAE,1-PAMRWA8
"GA userId: GA1.3.275781040.1513962752

Request: 2017-12-22",1-PAUOAYC,1-PAUOAY6
"GA userId: GA1.3.1230822747.1476351446

Request: 2017-12-25",1-PBHYCON,1-PBHYCOG
"GA userId: GA1.3.555276222.1514496499

Request: 2017-12-28",1-PCJCDPE,1-PCJCDP8
"GA userId: 333297965.1485427816

Request: 2017-10-20",1-OA87313,1-OA872I0
"GA userId: 333297965.1485427816

Request: 2017-10-20",1-OA87826,1-OA87C94
"GA userId: 11613625.1514976721

Request: 2018-01-03",1-OA87826,1-PE53Q1A
"GA userId: 333297965.1485427816

Request: 2017-10-20",1-OA87826,1-OA87EUG
"GA userId: GA1.3.1512411664.1508511612

Request: 2017-10-20",1-OAHNUXT,1-OAHNUUU
"GA userId: 1824927281.1508611368

Request: 2017-10-21",1-OBAW0WH,1-OBAW0WA
"GA userId: 1398498605.1508594625

Request: 2017-10-22",1-OBLQ7G0,1-OBLQ7FU
"GA userId: GA1.3.1937736005.1508673762

Request: 2017-10-22",1-OBP9EB6,1-OBP9EB0
"GA userId: 1377905954.1508692263

Request: 2017-10-22",1-OBTJFZC,1-OBTJFZ6
"GA userId: 1556442208.1508696574

Request: 2017-10-22",1-OBVL7V0,1-OBVL7UU
"GA userId: 

Request: 2017-10-26",1-OFM8XIK,1-OFM8XIE
"GA userId: GA1.3.238716464.1475254959

Request: 2017-10-26",1-OFPYFHA,1-OFPYFH4
"GA userId: 1742639242.1482683639

Request: 2017-10-27",1-OG2I8MA,1-OG2I8M4
"GA userId: 1380981681.1509398402

Request: 2017-10-30",1-OGYW6GD,1-OGYW6G6
"GA userId: 1516687142.1509541012

Request: 2017-11-01",1-OHF8DD0,1-OHF8DCU
"GA userId: 396750042.1509560679

Request: 2017-11-01",1-OHICTT6,1-OHICTT0
"GA userId: 2024204.1502393380

Request: 2017-11-01",1-OHJ2UZ8,1-OHJ2UZ2
"GA userId: 2024204.1502393380

Request: 2017-11-01",1-OHJ2UZ8,1-OHJ2YOE
"GA userId: 2008573988.1509033290

Request: 2017-11-01",1-OHJEHAP,1-OHJEGPY
"GA userId: 1961232757.1509872049

Request: 2017-11-05",1-OISIGX8,1-OISIGX2
"GA userId: GA1.3.1529453676.1510002610

Request: 2017-11-06",1-OJBEUPD,1-OJBEUO2
"GA userId: 1638425001.1510089203

Request: 2017-11-07",1-OJUFCRI,1-OJUFCRC
"GA userId: 2102962784.1510130491

Request: 2017-11-08",1-OK0VAFK,1-OK0VAFE
"GA userId: GA1.3.2128343392.1510258106

Request: 2017-11-09",1-OL3DTAL,1-OL3DTA4
"GA userId: 428829642.1510846950

Request: 2017-11-16",1-OODQWI8,1-OODQWI2
"GA userId: GA1.3.1358790516.1511121576

Request: 2017-11-19",1-OPNG912,1-OPNG90W
"GA userId: 146181097.1511171274

Request: 2017-11-22",1-OPS1ACU,1-ORLOEFO
"GA userId: 146181097.1511171274

Request: 2017-11-20",1-OPS1ACU,1-OPS1E98
"GA userId: 146181097.1511171274

Request: 2017-11-20",1-OPS1ACU,1-OPS1ACO
"GA userId: 

Request: 2017-11-20",1-OPTMD9I,1-OPTMD9C
"GA userId: GA1.3.1114930121.1510251353

Request: 2017-11-21",1-OQDSVZS,1-OQDSVZM
"GA userId: 8815901.1511286971

Request: 2017-11-21",1-OQZMQ5X,1-OQZNGK0
"GA userId: 8815901.1511286971

Request: 2017-11-21",1-OQZMQ5X,1-OQZMQ5Q
"GA userId: 1210522378.1509527213

Request: 2017-11-23",1-OSSTBTG,1-OSSTJLK
"GA userId: 1210522378.1509527213

Request: 2017-11-23",1-OSSTBTG,1-OSSTBTA
"GA userId: 1023109774.1511464288

Request: 2017-11-23",1-OSV60JD,1-OSV60J6
"GA userId: GA1.3.1160106755.1511471605

Request: 2017-11-23",1-OSWGBKP,1-OSWMD4Q
"GA userId: 1172432605.1511763669

Request: 2017-11-27",1-OUZTYIB,1-OUZTYI4
"GA userId: GA1.3.1915194809.1511817185

Request: 2017-11-27",1-OVOIJ68,1-OVOIJ62
"GA userId: 1280970622.1502950840

Request: 2017-11-28",1-OW16BLK,1-OW16BLE
"GA userId: 1280970622.1502950840

Request: 2017-11-28",1-OW16G61,1-OW16O8E
"GA userId: 1280970622.1502950840

Request: 2017-11-29",1-OW16G61,1-OWS8BAG
"GA userId: GA1.3.712690847.1503232685

Request: 2017-11-28",1-OWJ2TQS,1-OWJ2TQM
"GA userId: 770750669.1511966506

Request: 2017-11-30",1-OYIH822,1-OYIH81W
"GA userId: 1556025589.1512236893

Request: 2017-12-02",1-P0300N4,1-P0300MY
"GA userId: 640687442.1512245462

Request: 2017-12-02",1-P04V7YY,1-P04V7YS
"GA userId: 1968000257.1511255130

Request: 2017-12-04",1-P0THSK6,1-P0THSK0
"GA userId: 121690116.1512416311

Request: 2017-12-04",1-P17IFLI,1-P17IFLC
"GA userId: 1703773523.1512843252

Request: 2017-12-09",1-P3AAGHF,1-P3AAGH8
"GA userId: 201742685.1513026451

Request: 2017-12-11",1-P40G9N8,1-P40G9N2
"GA userId: 1758901381.1513165043

Request: 2017-12-13",1-P57IYXS,1-P57IYXM
"GA userId: 1758901381.1513165043

Request: 2017-12-13",1-P57IYXS,1-P57IDAQ
"GA userId: GA1.3.296750379.1512238198

Request: 2017-12-13",1-P5U1EZ0,1-P5U1EYU
"GA userId: 1060565420.1448373766

Request: 2017-12-18",1-P8I70HU,1-P8I70HO
"GA userId: GA1.3.596749944.1508672590

Request: 2017-12-24",1-PB99VXM,1-PB99VXG
"GA userId: 1826962840.1514992786

Request: 2018-01-03",1-PE9B6HJ,1-PE9B6GS
"GA userId: 1869233233.1514411783

Request: 2017-12-27",1-PC88YRG,1-PC88YRA
"GA userId: GA1.3.1920684785.1514466692

Request: 2017-12-28",1-PCEG2DS,1-PCEG2DM
"GA userId: GA1.3.2015233869.1492008775

Request: 2017-12-30",1-PD31EVS,1-PD31I2C
"GA userId: GA1.3.2015233869.1492008775

Request: 2017-12-30",1-PD31EVS,1-PD31EVM
"GA userId: 1377886799.1514653569

Request: 2017-12-30",1-PD45LA3,1-PD45L9W
"GA userId: 1804558080.1514737296

Request: 2017-12-31",1-PDAZ70U,1-PDAZ70O
"GA userId: 378621123.1508872744

Request: 2018-01-01",1-PDLQ4JW,1-PDLQ4JQ
"GA userId: 378621123.1508872744

Request: 2018-01-01",1-PDLQ4JW,1-PDLQGIK
"GA userId: 378621123.1508872744

Request: 2018-01-01",1-PDLQ4JW,1-PDLQEY6
"GA userId: 1750244270.1514834010

Request: 2018-01-02",1-PDX3BBY,1-PDX3BBS
"GA userId: GA1.3.1370672896.1452116610

Request: 2017-11-08",1-XZ6-4320,1-OKDJRZG
"GA userId: 7241106.1513197231

Request: 2017-12-13",1-Y00-3696,1-P5LPBO8
"GA userId: GA1.3.1370672896.1452116610

Request: 2017-11-08",1-XZ6-4320,1-OKDJQQ6
"GA userId: 1102404711.1466114493

Request: 2017-10-29",1-7Z6R6HX,1-OGI9OSU
"GA userId: 1102404711.1466114493

Request: 2017-10-29",1-7Z6R6HX,1-OGI9KPM
"GA userId: 1337768045.1482770714

Request: 2017-12-04",1-87A2YIU,1-P17QF4Q
"GA userId: 1164617338.1507909062

Request: 2017-12-02",1-93PME92,1-OZYMXLK
"GA userId: 1793622993.1502037429

Request: 2017-12-27",1-NNL5ME2,1-PC0W7IU
"GA userId: 1793622993.1502037429

Request: 2017-12-27",1-NNL5ME2,1-PC0W4HE
"GA userId: 887551520.1510223324

Request: 2017-11-09",1-4H1JNS9,1-OKM0WQK
"GA userId: 1516687142.1509541012

Request: 2017-11-01",1-44B6XY9,1-OHF8GUE
"GA userId: GA1.3.421417956.1504425752

Request: 2017-12-14",1-2QD6MIM,1-P62FHEK
"GA userId: 212947132.1510845907

Request: 2017-11-16",1-14UH2FF,1-OODR28Q
"GA userId: 212947132.1510845907

Request: 2017-11-16",1-14UH2FF,1-OODQT7Q
"GA userId: 212947132.1510845907

Request: 2017-11-16",1-14UH2FF,1-OODR2F4
"GA userId: 1164617338.1507909062

Request: 2017-12-02",1-93PME92,1-OZYMXLK
"GA userId: 627899486.1457700314

Request: 2017-11-03",1-OI947I0,1-OI947HU
